Ruta,Territorio,Subdireccion,Zona,Sucursal,Marca,Base,Unidad de Negocio,País,Region,Sucursal Original,Nomenclatura
CHIMBOTE-PP-R1,NO APLICA,Norte,Norte Chico,Chimbote Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Chimbote Presico,P
CHIMBOTE-PP-R2,NO APLICA,Norte,Norte Chico,Chimbote Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Chimbote Presico,P
CHIMBOTE-PP-R3,NO APLICA,Norte,Norte Chico,Chimbote Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Chimbote Presico,P
CHIMBOTE-PP-R4,NO APLICA,Norte,Norte Chico,Chimbote Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Chimbote Presico,P
HUACHO-CP-R1,NO APLICA,Norte,Norte Chico,Huacho La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Huacho La Casita,C
HUACHO-CP-R2,NO APLICA,Norte,Norte Chico,Huacho La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Huacho La Casita,C
HUACHO-CP-R3,NO APLICA,Norte,Norte Chico,Huacho La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Huacho La Casita,C
HUACHO-PP-R1,NO APLICA,Norte,Norte Chico,Huacho Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Huacho Presico,P
HUACHO-PP-R2,NO APLICA,Norte,Norte Chico,Huacho Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Huacho Presico,P
HUACHO-PP-R3,NO APLICA,Norte,Norte Chico,Huacho Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Huacho Presico,P
HUACHO-PP-R4,NO APLICA,Norte,Norte Chico,Huacho Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Huacho Presico,P
HUANUCO-PP-R1,NO APLICA,Norte,Norte Chico,Huanuco Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Huanuco Presico,P
HUARAZ-PP-R1,NO APLICA,Norte,Norte Chico,Huaraz Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Huaraz Presico,P
TRUJILLO-CP-R1,NO APLICA,Norte,Norte Chico,Trujillo La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Trujillo La Casita,C
TRUJILLO-PP-R1,NO APLICA,Norte,Norte Chico,Trujillo Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Trujillo Presico,P
TRUJILLO-PP-R2,NO APLICA,Norte,Norte Chico,Trujillo Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Trujillo Presico,P
TRUJILLO-PP-R3,NO APLICA,Norte,Norte Chico,Trujillo Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Trujillo Presico,P
TRUJILLO-PP-R4,NO APLICA,Norte,Norte Chico,Trujillo Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Trujillo Presico,P
JAEN-PP-R1,NO APLICA,Norte,Nor Oriente,Jaen Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Jaen Presico,P
LIMA NORTE-CP-R1,NO APLICA,Centro,Lima,Lima Norte Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Lima Norte Casita,C
LIMA NORTE-CP-R2,NO APLICA,Centro,Lima,Lima Norte Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Lima Norte Casita,C
LIMA NORTE-CP-R3,NO APLICA,Centro,Lima,Lima Norte Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Lima Norte Casita,C
LIMA NORTE-CP-R4,NO APLICA,Centro,Lima,Lima Norte Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Lima Norte Casita,C
LIMA NORTE-PP-R1,NO APLICA,Centro,Lima,Lima Norte Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Lima Norte Presico,P
LIMA NORTE-PP-R4,NO APLICA,Centro,Lima,Lima Norte Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Lima Norte Presico,P
LIMA NORTE-PP-R5,NO APLICA,Centro,Lima,Lima Norte Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Lima Norte Presico,P
LIMA NORTE-PP-R6,NO APLICA,Centro,Lima,Lima Norte Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Lima Norte Presico,P
LIMA SUR-CP-R1,NO APLICA,Centro,Lima,Lima Sur La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Lima Sur La Casita,C
LIMA SUR-CP-R2,NO APLICA,Centro,Lima,Lima Sur La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Lima Sur La Casita,C
LIMA SUR-CP-R3,NO APLICA,Centro,Lima,Lima Sur La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Lima Sur La Casita,C
LIMA SUR-PP-R3,NO APLICA,Centro,Lima,Lima Sur Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Lima Sur Presico,P
LIMA SUR-PP-R4,NO APLICA,Centro,Lima,Lima Sur Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Lima Sur Presico,P
LIMA SUR-PP-R5,NO APLICA,Centro,Lima,Lima Sur Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Lima Sur Presico,P
LIMA SUR-PP-R6,NO APLICA,Centro,Lima,Lima Sur Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Lima Sur Presico,P
LIMA SUR-PP-R8,NO APLICA,Centro,Lima,Lima Sur Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Lima Sur Presico,P
HUAYCAN-PP-R1,NO APLICA,Centro,Lima,Huaycan Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Huaycan Presico,P
AREQUIPA-CP-R1,NO APLICA,Sur,Sur,Arequipa La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Arequipa La Casita,C
AREQUIPA-CP-R2,NO APLICA,Sur,Sur,Arequipa La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Arequipa La Casita,C
AREQUIPA-CP-R3,NO APLICA,Sur,Sur,Arequipa La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Arequipa La Casita,C
AREQUIPA-PP-R1,NO APLICA,Sur,Sur,Arequipa Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Arequipa Presico,P
AREQUIPA-PP-R2,NO APLICA,Sur,Sur,Arequipa Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Arequipa Presico,P
AREQUIPA-PP-R3,NO APLICA,Sur,Sur,Arequipa Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Arequipa Presico,P
CAMANA-PP-R1,NO APLICA,Sur,Sur,Camana Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Camana Presico,P
CAMANA-PP-R2,NO APLICA,Sur,Sur,Camana Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Camana Presico,P
CAMANA-PP-R3,NO APLICA,Sur,Sur,Camana Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Camana Presico,P
CAMANA-PP-R4,NO APLICA,Sur,Sur,Camana Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Camana Presico,P
TACNA-PP-R1,NO APLICA,Sur,Sur,Tacna Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Tacna Presico,P
TACNA-PP-R2,NO APLICA,Sur,Sur,Tacna Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Tacna Presico,P
TACNA-PP-R3,NO APLICA,Sur,Sur,Tacna Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Tacna Presico,P
ABANCAY-PP-R1,NO APLICA,Sur,Sur Andino,Abancay Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Abancay Presico,P
ANDAHUAYLAS-PP-R1,NO APLICA,Sur,Sur Andino,Andahuaylas Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Andahuaylas Presico,P
AYACUCHO-CP-R1,NO APLICA,Sur,Sur Andino,Ayacucho La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Ayacucho La Casita,C
AYACUCHO-CP-R2,NO APLICA,Sur,Sur Andino,Ayacucho La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Ayacucho La Casita,C
AYACUCHO-CP-R3,NO APLICA,Sur,Sur Andino,Ayacucho La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Ayacucho La Casita,C
CUSCO-CP-R1,NO APLICA,Sur,Sur Andino,Cusco La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Cusco La Casita,C
CUSCO-CP-R2,NO APLICA,Sur,Sur Andino,Cusco La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Cusco La Casita,C
CUSCO-CP-R3,NO APLICA,Sur,Sur Andino,Cusco La Casita,La Casita,La Casita,Présico LATAM,Peru,Sudamerica,Cusco La Casita,C
HUANCAYO-PP-R1,NO APLICA,Sur,Sur Andino,Huancayo Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Huancayo Presico,P
HUANCAYO-PP-R2,NO APLICA,Sur,Sur Andino,Huancayo Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Huancayo Presico,P
CAÑETE-PP-R1,NO APLICA,Centro,Sur Chico,Cañete Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Cañete Presico,P
CAÑETE-PP-R2,NO APLICA,Centro,Sur Chico,Cañete Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Cañete Presico,P
CAÑETE-PP-R3,NO APLICA,Centro,Sur Chico,Cañete Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Cañete Presico,P
CHINCHA-PP-R1,NO APLICA,Centro,Sur Chico,Chincha Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Chincha Presico,P
ICA-PP-R1,NO APLICA,Centro,Sur Chico,Ica Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Ica Presico,P
ICA-PP-R2,NO APLICA,Centro,Sur Chico,Ica Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Ica Presico,P
ICA-PP-R3,NO APLICA,Centro,Sur Chico,Ica Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Ica Presico,P
ICA-PP-R4,NO APLICA,Centro,Sur Chico,Ica Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Ica Presico,P
NAZCA-PP-R1,NO APLICA,Centro,Sur Chico,Nazca Presico,Presico,Presico,Présico LATAM,Peru,Sudamerica,Nazca Presico,P
MOROLEON-C-R1,Centro,Centro,Guanajuato,Moroleon Presico C-P,Presico,La Casita,Présico,México,México,Moroleon Presico,C
MOROLEON-P-R2,Centro,Centro,Guanajuato,Moroleon Presico C-P,Presico,Presico MX,Présico,México,México,Moroleon Presico,P
COLIMA-C-R1,Centro,Centro,Colima,Colima La Casita,La Casita,La Casita,Présico,México,México,Colima La Casita,C
COLIMA-C-R2,Centro,Centro,Colima,Colima La Casita,La Casita,La Casita,Présico,México,México,Colima La Casita,C
COLIMA-M-R1,Centro,Centro,Colima,Colima La Moderna M-PU,La Moderna,La Moderna,Présico,México,México,Colima La Moderna,M
COLIMA-M-R2,Centro,Centro,Colima,Colima La Moderna M-PU,La Moderna,La Moderna,Présico,México,México,Colima La Moderna,M
COLIMA-PU-R1,Centro,Centro,Colima,Colima La Moderna M-PU,La Moderna,Prestamos Unidos,Présico,México,México,Colima La Moderna,PU
COLIMA-P-R1,Centro,Centro,Colima,Colima Presico,Presico,Presico MX,Présico,México,México,Colima Presico,P
COLIMA-P-R2,Centro,Centro,Colima,Colima Presico,Presico,Presico MX,Présico,México,México,Colima Presico,P
COLIMA-P-R3,Centro,Centro,Colima,Colima Presico,Presico,Presico MX,Présico,México,México,Colima Presico,P
MANZANILLO-P-R2,Centro,Centro,Colima,Manzanillo Presico,Presico,Presico MX,Présico,México,México,Manzanillo Presico,P
CELAYA-P-R1,Centro,Centro,Guanajuato,Celaya Presico,Presico,Presico MX,Présico,México,México,Celaya Presico,P
CELAYA-P-R2,Centro,Centro,Guanajuato,Celaya Presico,Presico,Presico MX,Présico,México,México,Celaya Presico,P
CELAYA-LL-R1,Centro,Centro,Guanajuato,Celaya La Lupita,Presico,La Lupita,Présico,México,México,Celaya La Lupita,LL
MORELIA-C-R1,Centro,Centro,Morelia,Morelia La Casita,La Casita,La Casita,Présico,México,México,Morelia La Casita,C
MORELIA-C-R2,Centro,Centro,Morelia,Morelia La Casita,La Casita,La Casita,Présico,México,México,Morelia La Casita,C
MORELIA-C-R3,Centro,Centro,Morelia,Morelia La Casita,La Casita,La Casita,Présico,México,México,Morelia La Casita,C
MORELIA-C-R4,Centro,Centro,Morelia,Morelia La Casita,La Casita,La Casita,Présico,México,México,Morelia La Casita,C
MORELIA-LL-R1,Centro,Centro,Morelia,Morelia La Lupita,La Lupita,La Lupita,Présico,México,México,Morelia La Lupita,LL
MORELIA-LL-R2,Centro,Centro,Morelia,Morelia La Lupita,La Lupita,La Lupita,Présico,México,México,Morelia La Lupita,LL
MORELIA-M-R1,Centro,Centro,Morelia,Morelia La Moderna M-PU,La Moderna,La Moderna,Présico,México,México,Morelia La Moderna,M
MORELIA-M-R2,Centro,Centro,Morelia,Morelia La Moderna M-PU,La Moderna,La Moderna,Présico,México,México,Morelia La Moderna,M
MORELIA-M-R4,Centro,Centro,Morelia,Morelia La Moderna M-PU,La Moderna,La Moderna,Présico,México,México,Morelia La Moderna,M
MORELIA-PU-R2,Centro,Centro,Morelia,Morelia La Moderna M-PU,La Moderna,Prestamos Unidos,Présico,México,México,Morelia La Moderna,PU
MORELIA-P-R2,Centro,Centro,Morelia,Morelia Presico,Presico,Presico MX,Présico,México,México,Morelia Presico,P
MORELIA-P-R3,Centro,Centro,Morelia,Morelia Presico,Presico,Presico MX,Présico,México,México,Morelia Presico,P
MORELIA-P-R4,Centro,Centro,Morelia,Morelia Presico,Presico,Presico MX,Présico,México,México,Morelia Presico,P
MORELIA-P-R5,Centro,Centro,Morelia,Morelia Presico,Presico,Presico MX,Présico,México,México,Morelia Presico,P
MORELIA-P-R6,Centro,Centro,Morelia,Morelia Presico,Presico,Presico MX,Présico,México,México,Morelia Presico,P
URUAPAN-C-R1,Centro,Centro,Morelia,Uruapan Presico C-P,Presico,La Casita,Présico,México,México,Uruapan Presico,C
URUAPAN-P-R2,Centro,Centro,Morelia,Uruapan Presico C-P,Presico,Presico MX,Présico,México,México,Uruapan Presico,P
PACHUCA-C-R1,Centro,Centro Oriente,Pachuca,Pachuca La Casita,La Casita,La Casita,Présico,México,México,Pachuca La Casita,C
PACHUCA-C-R3,Centro,Centro Oriente,Pachuca,Pachuca La Casita,La Casita,La Casita,Présico,México,México,Pachuca La Casita,C
PACHUCA-C-R4,Centro,Centro Oriente,Pachuca,Pachuca La Casita,La Casita,La Casita,Présico,México,México,Pachuca La Casita,C
PACHUCA-LG-R1,Centro,Centro Oriente,Pachuca,Pachuca La Moderna LG-M,La Moderna,La Guerita,Présico,México,México,Pachuca La Moderna,LG
PACHUCA-M-R2,Centro,Centro Oriente,Pachuca,Pachuca La Moderna LG-M,La Moderna,La Moderna,Présico,México,México,Pachuca La Moderna,M
PACHUCA-M-R3,Centro,Centro Oriente,Pachuca,Pachuca La Moderna LG-M,La Moderna,La Moderna,Présico,México,México,Pachuca La Moderna,M
PACHUCA-P-R2,Centro,Centro Oriente,Pachuca,Pachuca Presico,Presico,Presico MX,Présico,México,México,Pachuca Presico,P
PACHUCA-P-R3,Centro,Centro Oriente,Pachuca,Pachuca Presico,Presico,Presico MX,Présico,México,México,Pachuca Presico,P
PACHUCA-P-R5,Centro,Centro Oriente,Pachuca,Pachuca Presico,Presico,Presico MX,Présico,México,México,Pachuca Presico,P
PUEBLA-C-R1,Centro,Centro Oriente,Puebla,Puebla La Casita,La Casita,La Casita,Présico,México,México,Puebla La Casita,C
PUEBLA-C-R2,Centro,Centro Oriente,Puebla,Puebla La Casita,La Casita,La Casita,Présico,México,México,Puebla La Casita,C
PUEBLA-C-R3,Centro,Centro Oriente,Puebla,Puebla La Casita,La Casita,La Casita,Présico,México,México,Puebla La Casita,C
PUEBLA-LG-R1,Centro,Centro Oriente,Puebla,Puebla La Guerita LG-LL,La Guerita,La Guerita,Présico,México,México,Puebla La Guerita,LG
PUEBLA-LG-R2,Centro,Centro Oriente,Puebla,Puebla La Guerita LG-LL,La Guerita,La Guerita,Présico,México,México,Puebla La Guerita,LG
PUEBLA-LL-R1,Centro,Centro Oriente,Puebla,Puebla La Guerita LG-LL,La Guerita,La Lupita,Présico,México,México,Puebla La Guerita,LL
PUEBLA-LL-R2,Centro,Centro Oriente,Puebla,Puebla La Guerita LG-LL,La Guerita,La Lupita,Présico,México,México,Puebla La Guerita,LL
PUEBLA-M-R1,Centro,Centro Oriente,Puebla,Puebla La Moderna,La Moderna,La Moderna,Présico,México,México,Puebla La Moderna,M
PUEBLA-M-R2,Centro,Centro Oriente,Puebla,Puebla La Moderna,La Moderna,La Moderna,Présico,México,México,Puebla La Moderna,M
PUEBLA-M-R5,Centro,Centro Oriente,Puebla,Puebla La Moderna,La Moderna,La Moderna,Présico,México,México,Puebla La Moderna,M
PUEBLA-M-R7,Centro,Centro Oriente,Puebla,Puebla La Moderna,La Moderna,La Moderna,Présico,México,México,Puebla La Moderna,M
PUEBLA-P-R2,Centro,Centro Oriente,Puebla,Puebla Presico,Presico,Presico MX,Présico,México,México,Puebla Presico,P
PUEBLA-P-R3,Centro,Centro Oriente,Puebla,Puebla Presico,Presico,Presico MX,Présico,México,México,Puebla Presico,P
PUEBLA-P-R5,Centro,Centro Oriente,Puebla,Puebla Presico,Presico,Presico MX,Présico,México,México,Puebla Presico,P
PUEBLA-P-R6,Centro,Centro Oriente,Puebla,Puebla Presico,Presico,Presico MX,Présico,México,México,Puebla Presico,P
PUEBLA-PU-R1,Centro,Centro Oriente,Puebla,Puebla PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Puebla PU,PU
PUEBLA-PU-R2,Centro,Centro Oriente,Puebla,Puebla PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Puebla PU,PU
PUEBLA-PU-R3,Centro,Centro Oriente,Puebla,Puebla PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Puebla PU,PU
PUEBLA-PU-R4,Centro,Centro Oriente,Puebla,Puebla PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Puebla PU,PU
PUEBLA-PU-R5,Centro,Centro Oriente,Puebla,Puebla PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Puebla PU,PU
TLAXCALA-C-R1,Centro,Centro Oriente,Tlaxcala,Tlaxcala La Casita C-P,La Casita,La Casita,Présico,México,México,Tlaxcala La Casita,C
TLAXCALA-C-R2,Centro,Centro Oriente,Tlaxcala,Tlaxcala La Casita C-P,La Casita,La Casita,Présico,México,México,Tlaxcala La Casita,C
TLAXCALA-C-R3,Centro,Centro Oriente,Tlaxcala,Tlaxcala La Casita C-P,La Casita,La Casita,Présico,México,México,Tlaxcala La Casita,C
TLAXCALA-P-R1,Centro,Centro Oriente,Tlaxcala,Tlaxcala La Casita C-P,La Casita,Presico MX,Présico,México,México,Tlaxcala La Casita,P
TLAXCALA-PU-R1,Centro,Centro Oriente,Tlaxcala,Tlaxcala PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Tlaxcala PU,PU
TLAXCALA-PU-R2,Centro,Centro Oriente,Tlaxcala,Tlaxcala PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Tlaxcala PU,PU
TLAXCALA-PU-R3,Centro,Centro Oriente,Tlaxcala,Tlaxcala PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Tlaxcala PU,PU
TLAXCALA-PU-R4,Centro,Centro Oriente,Tlaxcala,Tlaxcala PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Tlaxcala PU,PU
ZACAPOAXTLA-C-R1,Centro,Centro Oriente,Tlaxcala,Zacapoaxtla La Casita,La Casita,La Casita,Présico,México,México,Zacapoaxtla La Casita,C
ZACAPOAXTLA-C-R2,Centro,Centro Oriente,Tlaxcala,Zacapoaxtla La Casita,La Casita,La Casita,Présico,México,México,Zacapoaxtla La Casita,C
ZACAPOAXTLA-C-R3,Centro,Centro Oriente,Tlaxcala,Zacapoaxtla La Casita,La Casita,La Casita,Présico,México,México,Zacapoaxtla La Casita,C
ZACAPOAXTLA-P-R1,Centro,Centro Oriente,Tlaxcala,Zacapoaxtla Presico,Presico,Presico MX,Présico,México,México,Zacapoaxtla Presico,P
ZACAPOAXTLA-P-R2,Centro,Centro Oriente,Tlaxcala,Zacapoaxtla Presico,Presico,Presico MX,Présico,México,México,Zacapoaxtla Presico,P
ZACAPOAXTLA-P-R3,Centro,Centro Oriente,Tlaxcala,Zacapoaxtla Presico,Presico,Presico MX,Présico,México,México,Zacapoaxtla Presico,P
ZACAPOAXTLA-PU-R1,Centro,Centro Oriente,Tlaxcala,Zacapoaxtla PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Zacapoaxtla PU,PU
ZACAPOAXTLA-PU-R2,Centro,Centro Oriente,Tlaxcala,Zacapoaxtla PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Zacapoaxtla PU,PU
ZACAPOAXTLA-PU-R3,Centro,Centro Oriente,Tlaxcala,Zacapoaxtla PU,Prestamos Unidos,Prestamos Unidos,Présico,México,México,Zacapoaxtla PU,PU
ZACATLAN-C-R1,Centro,Centro Oriente,Tlaxcala,Zacatlan Presico C-LG-P,Presico,La Casita,Présico,México,México,Zacatlan Presico,C
ZACATLAN-C-R2,Centro,Centro Oriente,Tlaxcala,Zacatlan Presico C-LG-P,Presico,La Casita,Présico,México,México,Zacatlan Presico,C
ZACATLAN-LG-R1,Centro,Centro Oriente,Tlaxcala,Zacatlan Presico C-LG-P,Presico,La Guerita,Présico,México,México,Zacatlan Presico,LG
ZACATLAN-P-R1,Centro,Centro Oriente,Tlaxcala,Zacatlan Presico C-LG-P,Presico,Presico MX,Présico,México,México,Zacatlan Presico,P
ACAPULCO-C-R3,Centro,Costa,Acapulco,Acapulco La Casita,La Casita,La Casita,Présico,México,México,Acapulco La Casita,C
ACAPULCO-M-R1,Centro,Costa,Acapulco,Acapulco Presico M-P,Presico,La Moderna,Présico,México,México,Acapulco Presico,M
ACAPULCO-M-R2,Centro,Costa,Acapulco,Acapulco Presico M-P,Presico,La Moderna,Présico,México,México,Acapulco Presico,M
ACAPULCO-P-R1,Centro,Costa,Acapulco,Acapulco Presico M-P,Presico,Presico MX,Présico,México,México,Acapulco Presico,P
ACAPULCO-P-R2,Centro,Costa,Acapulco,Acapulco Presico M-P,Presico,Presico MX,Présico,México,México,Acapulco Presico,P
CRUZ GRANDE-P-R2,Centro,Costa,Acapulco,Cruz Grande Presico,Presico,Presico MX,Présico,México,México,Cruz Grande Presico,P
OMETEPEC-M-R1,Centro,Costa,Acapulco,Ometepec Presico M-P,Presico,La Moderna,Présico,México,México,Ometepec Presico,M
OMETEPEC-P-R1,Centro,Costa,Acapulco,Ometepec Presico M-P,Presico,Presico MX,Présico,México,México,Ometepec Presico,P
OMETEPEC-P-R2,Centro,Costa,Acapulco,Ometepec Presico M-P,Presico,Presico MX,Présico,México,México,Ometepec Presico,P
CHILAPA-C-R1,Centro,Costa,Chilpancingo,Chilapa Presico C-M-P,Presico,La Casita,Présico,México,México,Chilapa Presico,C
CHILAPA-M-R1,Centro,Costa,Chilpancingo,Chilapa Presico C-M-P,Presico,La Moderna,Présico,México,México,Chilapa Presico,M
CHILAPA-P-R1,Centro,Costa,Chilpancingo,Chilapa Presico C-M-P,Presico,Presico MX,Présico,México,México,Chilapa Presico,P
CHILAPA-P-R2,Centro,Costa,Chilpancingo,Chilapa Presico C-M-P,Presico,Presico MX,Présico,México,México,Chilapa Presico,P
CHILPANCINGO-C-R2,Centro,Costa,Chilpancingo,Chilpancingo La Casita C-M,La Casita,La Casita,Présico,México,México,Chilpancingo La Casita,C
CHILPANCINGO-M-R2,Centro,Costa,Chilpancingo,Chilpancingo La Casita C-M,La Casita,La Moderna,Présico,México,México,Chilpancingo La Casita,M
CHILPANCINGO-P-R1,Centro,Costa,Chilpancingo,Chilpancingo Presico P-PU,Presico,Presico MX,Présico,México,México,Chilpancingo Presico,P
CHILPANCINGO-P-R2,Centro,Costa,Chilpancingo,Chilpancingo Presico P-PU,Presico,Presico MX,Présico,México,México,Chilpancingo Presico,P
CHILPANCINGO-P-R3,Centro,Costa,Chilpancingo,Chilpancingo Presico P-PU,Presico,Presico MX,Présico,México,México,Chilpancingo Presico,P
CHILPANCINGO-P-R4,Centro,Costa,Chilpancingo,Chilpancingo Presico P-PU,Presico,Presico MX,Présico,México,México,Chilpancingo Presico,P
CHILPANCINGO-PU-R1,Centro,Costa,Chilpancingo,Chilpancingo Presico P-PU,Presico,Prestamos Unidos,Présico,México,México,Chilpancingo Presico,PU
TLAPA-C-R1,Centro,Costa,Chilpancingo,Tlapa Presico C-P,Presico,La Casita,Présico,México,México,Tlapa Presico,C
TLAPA-P-R1,Centro,Costa,Chilpancingo,Tlapa Presico C-P,Presico,Presico MX,Présico,México,México,Tlapa Presico,P
TLAPA-P-R2,Centro,Costa,Chilpancingo,Tlapa Presico C-P,Presico,Presico MX,Présico,México,México,Tlapa Presico,P
IGUALA-C-R1,Centro,Costa,Ixtapan de la Sal,Iguala La Casita C-M,La Casita,La Casita,Présico,México,México,Iguala La Casita,C
IGUALA-C-R2,Centro,Costa,Ixtapan de la Sal,Iguala La Casita C-M,La Casita,La Casita,Présico,México,México,Iguala La Casita,C
IGUALA-M-R1,Centro,Costa,Ixtapan de la Sal,Iguala La Casita C-M,La Casita,La Moderna,Présico,México,México,Iguala La Casita,M
IGUALA-P-R1,Centro,Costa,Ixtapan de la Sal,Iguala Presico,Presico,Presico MX,Présico,México,México,Iguala Presico,P
IGUALA-P-R2,Centro,Costa,Ixtapan de la Sal,Iguala Presico,Presico,Presico MX,Présico,México,México,Iguala Presico,P
IGUALA-P-R3,Centro,Costa,Ixtapan de la Sal,Iguala Presico,Presico,Presico MX,Présico,México,México,Iguala Presico,P
IXTAPAN DE LA SAL-C-R1,Centro,Costa,Ixtapan de la Sal,Ixtapan de la Sal Presico C-P,Presico,La Casita,Présico,México,México,Ixtapan de la Sal Presico,C
IXTAPAN DE LA SAL-P-R1,Centro,Costa,Ixtapan de la Sal,Ixtapan de la Sal Presico C-P,Presico,Presico MX,Présico,México,México,Ixtapan de la Sal Presico,P
TAXCO-C-R1,Centro,Costa,Ixtapan de la Sal,Taxco La Casita C-M-P,La Casita,La Casita,Présico,México,México,Taxco La Casita,C
TAXCO-C-R2,Centro,Costa,Ixtapan de la Sal,Taxco La Casita C-M-P,La Casita,La Casita,Présico,México,México,Taxco La Casita,C
TAXCO-M-R1,Centro,Costa,Ixtapan de la Sal,Taxco La Casita C-M-P,La Casita,La Moderna,Présico,México,México,Taxco La Casita,M
TAXCO-P-R1,Centro,Costa,Ixtapan de la Sal,Taxco La Casita C-M-P,La Casita,Presico MX,Présico,México,México,Taxco La Casita,P
CUAUTLA-C-R1,Centro,Costa,Morelos,Cuautla La Casita C-PU,La Casita,La Casita,Présico,México,México,Cuautla La Casita,C
CUAUTLA-C-R2,Centro,Costa,Morelos,Cuautla La Casita C-PU,La Casita,La Casita,Présico,México,México,Cuautla La Casita,C
CUAUTLA-C-R3,Centro,Costa,Morelos,Cuautla La Casita C-PU,La Casita,La Casita,Présico,México,México,Cuautla La Casita,C
